CENTERS,NEW_CENTER,New Center,नवीन केंद्र,नया केंद्र,ନୂତନ କେନ୍ଦ୍ର,కొత్త సెంటర్,ಹೊಸ ಕೇಂದ್ರ,புதிய மையம்,નવું કેન્દ્ર,نیا مرکز
CENTERS,CENTER_TYPE,Center Type,केंद्र प्रकार,केंद्र प्रकार,କେନ୍ଦ୍ର ପ୍ରକାର,సెంటర్ రకం,ಕೇಂದ್ರದ ಪ್ರಕಾರ,மையத்தின் வகை,કેન્દ્રના પ્રકાર,مرکز کی قسم
CENTERS,UNIT_NAME,Unit Name,युनिटचे नाव,इकाई का नाम,ଏକକ ନାମ,యూనిట్ పేరు,ಘಟಕದ ಹೆಸರು,யூனிட் பெயர்,યુનિટ નું નામ,یونٹ کا نام
CENTERS,NOTE,Note: This will be the center name,लक्षात घ्या: हे केंद्राचे नाव असेल,नोट: यह केंद्र का नाम होगा,ଦୟାକରି ଲକ୍ଷ୍ୟ କରନ୍ତୁ: ଏହା କେନ୍ଦ୍ରର ନାମ ହେବ,గమనిక: ఇది సెంటర్ పేరు అవుతుంది,ಗಮನಿಸಿ: ಇದು ಕೇಂದ್ರದ ಹೆಸರಾಗಿರುತ್ತದೆ,குறிப்பு: இது மையத்தின் பெயராக இருக்கும்,નોધ : આ કેન્દ્રનું નામ રહેશે,نوٹ: یہ مرکز کا نام ہوگا۔
CENTERS,CENTER_CREATED,Center Created Successfully!,केंद्र यशस्वीरित्या तयार केले गेले!,केंद्र सफलतापूर्वक बनाया गया!,କେନ୍ଦ୍ର ସଫଳତାର ସହ ସୃଷ୍ଟି ହେଲା!,సెంటర్ విజయవంతంగా సృష్టించబడింది!,ಕೇಂದ್ರವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ!,மையம் வெற்றிகரமாக உருவாக்கப்பட்டது!,કેન્દ્ર સફળતાપૂર્વક બની ગયું,مرکز کامیابی کے ساتھ بنایا گیا!
CENTERS,RENAME_CENTER,Rename Center,केंद्राचे नाव बदला,केंद्र का नाम बदलें,କେନ୍ଦ୍ରର ନାମ ପରିବର,సెంటర్ పేరును మార్చండి,ಕೇಂದ್ರವನ್ನು ಮರುಹೆಸರಿಸಲಾಗಿದೆ,மையத்தை மறுபெயரிடவும்,કેન્દ્રનું નામ બદલો,مرکز کا نام تبدیل کریں۔
CENTERS,REQUEST_TO_DELETE,Request to Delete,हटवण्याची विनंती,हटाने का अनुरोध,ମିଟିବା ପାଇଁ ଅନୁରୋଧ,తొలగించడానికి అభ్యర్థన చేయండి,ಅಳಿಸಲು ವಿನಂತಿ,நீக்க கோரிக்கை,હટાવવા માટે અનુરોધ,حذف کرنے کی درخواست
CENTERS,RENAME,Rename,नाव बदला,नाम बदलें,ପୁନର୍ନାମକରଣ,పేరు మార్చండి,ಮರುಹೆಸರಿಸಲಾಗಿದೆ,மறுபெயரிடவும்,નામ બદલો,نام تبدیل کریں۔
CENTERS,CENTER_RENAMED,Center Renamed Successfully!,केंद्राचे नाव यशस्वीरित्या बदलले गेले!,केंद्र का नाम सफलतापूर्वक बदला गया!,କେନ୍ଦ୍ର ଶୁଭକାମନାର ସହିତ ପୁନର୍ନାମ କରାଯାଇଛି!,సెంటర్ పేరు విజయవంతంగా మార్చబడింది!,ಕೇಂದ್ರವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಮರುಹೆಸರಿಸಲಾಗಿದೆ!,மையத்தின் பெயர் வெற்றிகரமாக மாற்றப்பட்டது!,કેન્દ્રનું નામ સફળતાપૂર્વક બદલાઈ ગયું,مرکز کا نام کامیابی کے ساتھ بدل دیا گیا!
CENTERS,SEND_REQUEST,Send Request,विनंती पाठवा,अनुरोध भेजें,ଅନୁରୋଧ ପଠାନ୍ତୁ,అభ్యర్థన పంపండి,ವಿನಂತಿಯನ್ನು ಕಳುಹಿಸಿ,கோரிக்கையை அனுப்பவும்,અનુરોધ મોકલો,درخواست بھیجیں۔
CENTERS,SURE_DELETE_CENTER,Are you sure you want to delete,क्या आप इसे हटाना चाहते हैं,तुम्हाला नक्की हटवायचे आहे का,ଆପଣ ବିଲୋପ କରିବାକୁ ଚାହୁଁଛନ୍ତି କି,మీరు ఖచ్చితంగా తొలగించాలనుకుంటున్నారా,ನೀವು ಅಳಿಸಲು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?,நீங்கள் நிச்சயமாக நீக்க விரும்புகிறீர்களா,શું તમે ખરેખર ડિલીટ કરવા માંગો છો,کیا آپ واقعی حذف کرنا چاہتے ہیں؟
CENTERS,CENTER_UPDATE_SUCCESSFULLY,Center has been successfully updated,सेंटर सफलतापूर्वक अपडेट किया गया,केंद्र यशस्वीपणे अद्ययावत केले,କେନ୍ଦ୍ର ସଫଳତାର ସହ ଅପଡେଟ୍ ହୋଇଛି।,కేంద్రం విజయవంతంగా నవీకరించబడింది,ಕೇಂದ್ರವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ。,மையம் வெற்றிகரமாக புதுப்பிக்கப்பட்டது,કેન્દ્રને સફળતાપૂર્વક અપડેટ કરવામાં આવ્યું છે,مرکز کو کامیابی کے ساتھ اپ ڈیٹ کر دیا گیا ہے۔
CENTERS,CENTER_DELETE_SUCCESSFULLY,Center has been successfully deleted,सेंटर सफलतापूर्वक हटाया गया,केंद्र यशस्वीपणे हटवले,କେନ୍ଦ୍ର ସଫଳତାର ସହ ବିଲୋପ କରାଯାଇଛି,కేంద్రం విజయవంతంగా తొలగించబడింది,ಕೇಂದ್ರವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ。,மையம் வெற்றிகரமாக நீக்கப்பட்டது,કેન્દ્ર સફળતાપૂર્વક કાઢી નાખવામાં આવ્યું છે,مرکز کو کامیابی کے ساتھ حذف کر دیا گیا ہے۔
CENTERS,CENTER_CREATED_SUCCESSFULLY,Center Created successfully,सेंटर सफलतापूर्वक बनाया गया,केंद्र यशस्वीपणे तयार केले,କେନ୍ଦ୍ର ସଫଳତାର ସହ ତିଆରି ହୋଇଛି,కేంద్రం విజయవంతంగా సృష్టించబడింది,ಕೇಂದ್ರವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ。,மையம் வெற்றிகரமாக உருவாக்கப்பட்டது,કેન્દ્ર સફળતાપૂર્વક બનાવવામાં આવ્યું,مرکز کامیابی سے بنا
CENTERS,SEARCHBAR_PLACEHOLDER,Search Center..,सेंटर खोजें..,शोधा केंद्र..,କେନ୍ଦ୍ର ସନ୍ଧାନ କର ..,శోధన కేంద్రం..,ಸರ್ಚ್ ಸೆಂಟರ್,மையத்தை தேடு ..,કેન્દ્ર શોધો,سرچ سینٹر..
CENTERS,CENTER_UPDATE_FAILED,Something went wrong while updating center,सेंटर को अपडेट करते समय कुछ गलत हो गया,केंद्र अद्ययावत करताना काहीतरी चूक झाली,କେନ୍ଦ୍ର ଅପଡେଟ୍ କରିବା ସମୟରେ କିଛି ଭୁଲ ହୋଇଗଲା।,కేంద్రాన్ని నవీకరించేటప్పుడు ఏదో తప్పు జరిగింది,ಕೇಂದ್ರವನ್ನು ನವೀಕರಿಸುವಾಗ ಏನೋ ತಪ್ಪಾಗಿದೆ。,மையத்தைப் புதுப்பிக்கும்போது ஏதோ தவறு ஏற்பட்டது,કેન્દ્ર અપડેટ કરતી વખતે કંઈક ખોટું થયું,مرکز کو اپ ڈیٹ کرتے وقت کچھ غلط ہو گیا۔
CENTERS,YOU_CANT_DELETE_CENTER_HAS_ACTIVE_LEARNERS,You can't delete the center because it has {{activeMembers}} Active Learners,आप सेंटर को नहीं हटा सकते क्योंकि इसमें {{activeMembers}} सक्रिय लर्नर्स हैं,तुम्ही केंद्र हटवू शकत नाही कारण त्यात {{activeMembers}} सक्रिय शिकणारे आहेत,ଆପଣ କେନ୍ଦ୍ରକୁ ଡିଲିଟ୍ କରିପାରିବେ ନାହିଁ କାରଣ ଏଥିରେ {{activeMembers}} ସକ୍ରିୟ ବିଦ୍ୟାର୍ଥୀ ଅଛନ୍ତି।,మీరు కేంద్రాన్ని తొలగించలేరు ఎందుకంటే దానిలో {{activeMembers}} యాక్టివ్ లెర్నర్లు ఉన్నారు,ನೀವು ಕೇಂದ್ರವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ ಏಕೆಂದರೆ ಅದು {{activeMembers}} ಸಕ್ರಿಯ ಕಲಿಯುವವರನ್ನು ಹೊಂದಿದೆ。,மையத்தில் {{activeMembers}} ஆக்டிவ் மாணவர்கள் இருப்பதால் உங்களால் அதை நீக்க முடியாது,તમે કેન્દ્રને કાઢી શકતા નથી કારણ કે તેમાં {{activeMembers}} સક્રિય લર્નર્સ છે,آپ مرکز کو حذف نہیں کر سکتے کیونکہ اس میں {{activeMembers}} ایکٹو لرنرز ہیں۔
BATCH,NEW_BATCH,New Batch,नवीन बॅच,नया बैच,ନୂତନ ବ୍ୟାଚ୍,కొత్త బ్యాచ్,ಹೊಸ ಬ್ಯಾಚ್,புதிய தொகுப்பு,નવી બેચ,نیا بیچ
BATCH,UPDATE_BATCH,Update Batch,बॅच अपडेट करा,बैच अपडेट करें,ବ୍ୟାଚ୍ ଅଦ୍ୟତନ କରନ୍ତୁ,బ్యాచ్‌ను నవీకరించండి,ಬ್ಯಾಚ್ ಅನ್ನು ನವೀಕರಿಸಿ,தொகுப்பை புதுப்பிக்க,બેચ અપડેટ કરો,بیچ کو اپ ڈیٹ کریں۔
BATCH,SURE_DELETE_BATCH,Are you sure you want to delete,तुम्ही खरोखर बॅच हटवू इच्छिता का?,क्या आप निश्चित हैं कि आप इसे हटाना चाहते हैं?,ଆପଣ ନିଶ୍ଚିତ କି ଆପଣ ଏହାକୁ ଡିଲିଟ୍ କରିବାକୁ ଚାହାଁନ୍ତି?,మీరు ఖచ్చితంగా తొలగించాలనుకుంటున్నారా,ನೀವು ದಯವಿಟ್ಟು ಅಳಿಸಲು ಖಚಿತವಾಗಿದ್ದೀರಾ?,நீ delete செய்ய விரும்புகிறேனோ என்பதை உறுதிப்படுத்துகிறீர்களா?,શું તમે ખરેખર કાઢી નાખવા માંગો છો,کیا آپ واقعی حذف کرنا چاہتے ہیں۔
BATCH,BATCH_UPDATE_SUCCESSFULLY,Batch has been successfully updated,बॅच यशस्वीरित्या अपडेट झाली,बैच सफलतापूर्वक अपडेट किया गया,ବ୍ୟାଚ୍ ସଫଳତାର ସହିତ ଅଦ୍ୟତନ ହୋଇଛି,బ్యాచ్ విజయవంతంగా నవీకరించబడింది,ಬ್ಯಾಚ್ ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ,தொகுப்பு வெற்றிகரமாக புதுப்பிக்கப்பட்டது,બેચ સફળતાપૂર્વક અપડેટ કરવામાં આવી છે,بیچ کو کامیابی کے ساتھ اپ ڈیٹ کر دیا گیا ہے۔
BATCH,BATCH_DELETE_SUCCESSFULLY,Batch has been successfully deleted,बॅच यशस्वीरित्या हटवली,बैच सफलतापूर्वक हटाया गया,ବ୍ୟାଚ୍ ସଫଳତାର ସହିତ ବିଲୋପ ହୋଇଛି,బ్యాచ్ విజయవంతంగా తొలగించబడింది,ಬ್ಯಾಚ್ ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ,தொகுப்பு வெற்றிகரமாக நீக்கப்பட்டது,બેચ સફળતાપૂર્વક કાઢી નાખવામાં આવી છે,بیچ کو کامیابی کے ساتھ حذف کر دیا گیا ہے۔
BATCH,BATCH_CREATED_SUCCESSFULLY,Batch Created successfully,बॅच यशस्वीरित्या तयार झाली,बैच सफलतापूर्वक बनाया गया,ବ୍ୟାଚ୍ ସଫଳତାର ସହିତ ସୃଷ୍ଟି ହୋଇଛି,బ్యాచ్ విజయవంతంగా సృష్టించబడింది,ಬ್ಯಾಚ್ ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ,தொகுப்பு வெற்றிகரமாக உருவாக்கப்பட்டது,બેચ સફળતાપૂર્વક બનાવવામાં આવી,بیچ کامیابی کے ساتھ تیار ہو گیا۔
BATCH,BATCH_UPDATE_FAILED,Something went wrong while updating batch,बॅच अपडेट करत असताना काहीतरी चूक झाली,बैच अपडेट करते समय कुछ गलत हुआ,ବ୍ୟାଚ୍ ଅଦ୍ୟତନ କରିବା ସମୟରେ କିଛି ତ୍ରୁଟି ଘଟିଛି,బ్యాచ్‌ను అప్‌డేట్ చేస్తున్నప్పుడు ఏదో తప్పు జరిగింది,ಬ್ಯಾಚ್ ನವೀಕರಣದಲ್ಲಿ ಕೆಲವು ತಪ್ಪು ಸಂಭವಿಸಿದವು,தொகுப்பை புதுப்பிக்கும்போது ஏதோ பிழை ஏற்பட்டது,બેચ અપડેટ કરતી વખતે કંઈક ખોટું થયું,بیچ کو اپ ڈیٹ کرتے وقت کچھ غلط ہو گیا۔
FORM,FULL_NAME,Full Name,पूर्ण नाव,पूरा नाम,ପୂର୍ଣ୍ଣ ନାମ,పూర్తి పేరు,ಪೂರ್ಣ ಹೆಸರು,முழுப் பெயர்,પૂરું નામ,پورا نام
FORM,ENTER_FULL_NAME,Enter FUll Name,पूर्ण नाव प्रविष्ट करा,पूरा नाम दर्ज करें,ପୂର୍ଣ୍ଣ ନାମ ଭରନ୍ତୁ,పూర్తి పేరు నమోదు చేయండి,ಪೂರ್ಣ ಹೆಸರನ್ನು ನಮೂದಿಸಿ,முழுப் பெயரை உள்ளிடவும்,પૂરું નામ નાખો,پورا نام درج کریں۔
FORM,CONTACT_NUMBER,Contact Number,संपर्क क्रमांक,संपर्क नंबर,ସମ୍ପର୍କ ସଂଖ୍ୟା,సంప్రదింపు సంఖ్య,ಸಂಪರ್ಕ ಸಂಖ್ಯೆ,தொடர்பு எண்,સંપર્ક નંબર,رابطہ نمبر
FORM,ENTER_CONTACT_NUMBER,Enter Contact Number,संपर्क क्रमांक प्रविष्ट करा,संपर्क नंबर दर्ज करें,ସମ୍ପର୍କ ସଂଖ୍ୟା ଭରନ୍ତୁ,సంప్రదింపు సంఖ్యను నమోదు చేయండి,ಸಂಪರ್ಕ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ,தொடர்பு எண்ணை உள்ளிடவும்,સંપર્ક નંબર નાખો,رابطہ نمبر درج کریں۔
FORM,HOW_WAS_LEARNER_MOBILISED,How Was the Learner Mobilised?,शिकणार्‍यास कसे एकत्रित केले?,शिक्षार्थी को कैसे जुटाया गया?,ଶିକ୍ଷାର୍ଥୀ କିପରି ସଙ୍ଗଠିତ ହେଲେ?,అభ్యసకుడిని ఎలా చలనం చేశారు?,ಕಲಿಕರನ್ನು ಹೇಗೆ ಸಜ್ಜುಗೊಳಿಸಲಾಯಿತು?,மாணவர் எவ்வாறு அணிதிரட்டப்பட்டார்?,વિધ્યાર્થી કેવી રીતે શોધ્યા,سیکھنے والے کو کیسے متحرک کیا گیا؟
FORM,SECOND_CHANCE_ALUMNI,Second Chance Alumni,सेकंड चान्स माजी विद्यार्थी,सेकंड चांस पूर्व छात्र,ଦ୍ବିତୀୟ ସୁଯୋଗ ପାଠଶାଳୀ,సెకండ్ చాన్స్ అలుమ్ని,ಎರಡನೇ ಅವಕಾಶ ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿಗಳು,செகண்ட் சான்ஸ் முன்னாள் மாணவர்கள்,સેકન્ડ ચાંસ જૂના વિધ્યાર્થી,سیکنڈ چانس سابق طالب علم
FORM,PRATHAM_TEAM_MEMBER,Pratham Team Member,प्रथम टीम सदस्य,प्रथम टीम सदस्य,ପ୍ରଥମ ଟିମ୍ ସଦସ୍ୟ,ప్రథం టీమ్ సభ్యుడు,ಪ್ರಥಮ್ ತಂಡದ ಸದಸ್ಯ,பிரதம் குழு உறுப்பினர்,પ્રથમના ટીમ સદસ્ય,پرتھم ٹیم ممبر
FORM,OTHER,Other,इतर,अन्य,ଅନ୍ୟ,ఇతర,ಇತರ,மற்றவை,અન્ય,دیگر
FORM,AGE,Age,वय,आयु,ବୟସ,వయసు,ವಯಸ್ಸು,வயது,ઉમર,عمر
FORM,GENDER,Gender,लिंग,लिंग,ଲିଙ୍ଗ,లింగం,ಲಿಂಗ,பாலினம்,લિંગ,جنس
FORM,MALE,Male,पुरुष,पुरुष,ପୁରୁଷ,పురుషుడు,ಪುರುಷ,ஆண்,પુરુષ,مرد
FORM,FEMALE,Female,महिला,महिला,ସ୍ତ୍ରୀ,స్త్రీ,ಮಹಿಳೆ,பெண்,સ્ત્રી,خاتون
FORM,LEARNERS_PRIMARY_WORK,Learner's Primary Work,शिकणार्‍याचे प्राथमिक कार्य,शिक्षार्थी का प्राथमिक कार्य,ଶିକ୍ଷାର୍ଥୀର ପ୍ରାଥମିକ କାମ,అభ్యసకుడి ప్రాథమిక పని,ಕಲಿಕಾ ಪ್ರಾಥಮಿಕ ಕೆಲಸ,மாணவர்களின் முதன்மைப் பணி,વિધ્યાર્થીનું પ્રાથમિક કાર્ય,سیکھنے والوں کا بنیادی کام
FORM,ENROLLED_IN_EDUCATIONAL_INSTITUTE,Enrolled in educational institute,शैक्षणिक संस्थेत नावनोंदणी केली,शैक्षिक संस्थान में नामांकित,ଶିକ୍ଷା ସଂସ୍ଥାରେ ଭର୍ତ୍ତି ହୋଇଛନ୍ତି,విద్యా సంస్థలో నమోదు చేసుకున్నారు,ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಯಲ್ಲಿ ದಾಖಲಾಗಿದ್ದಾರೆ,வேறு கல்வி நிறுவனத்தில் சேர்ந்துள்ளார்,શૈક્ષણિક સંસ્થામાં નામકન,تعلیمی ادارے میں داخلہ لیا۔
FORM,OWN_FARMING,Own farming,स्वत:ची शेती,स्वयं की खेती,ନିଜର କୃଷି,స్వంత వ్యవసాయం,ಸ್ವಂತ ಕೃಷಿ,சொந்த விவசாயம்,પોતાની ખેતી,اپنی کاشتکاری
FORM,AGRICULTURAL_FARM_LABORER,Agricultural farm laborer,कृषी शेतमजूर,कृषि खेत मजदूर,କୃଷି କଷ୍ଟକର୍ମୀ,వ్యవసాయ కూలీ,ಕೃಷಿ ಕೃಷಿ ಕಾರ್ಮಿಕ,விவசாயத் தொழிலாளி,ખેત મજૂરી,زرعی کھیت مزدور
FORM,NON_AGRICULTURAL_LABORER,Non-agricultural laborer,गैर-कृषी मजूर,गैर-कृषि मजदूर,ଅକୃଷି କଷ୍ଟକର୍ମୀ,వ్యవసాయేతర కూలీ,ಕೃಷಿಯೇತರ ಕಾರ್ಮಿಕ,விவசாயம் அல்லாத தொழிலாளி,ખેત મજૂરી સિવાયનું કામ,غیر زرعی مزدور
FORM,SALARIED_WORK,Salaried work,पगारी काम,वेतनभोगी कार्य,ଶାଳୀତ କାମ,వేతన పని,ಸಂಬಳದ ಕೆಲಸ,சம்பள வேலை,પગાર આધારિત કાર્ય,تنخواہ دار کام
FORM,SELF_EMPLOYMENT,Self-employment,स्वयंरोजगार,स्व-रोजगार,ସ୍ୱୟଂ ସେବା,స్వయం ఉపాధి,ಸ್ವ-ಉದ್ಯೋಗ,சுயதொழில்,સ્વ રોજગાર,خود روزگار
FORM,UNEMPLOYED,Unemployed,बेरोजगार,बेरोज़गार,ବେକାର,నిరుద్యోగం,ನಿರುದ್ಯೋಗಿ,வேலையில்லாதவர்,બેરોજગાર,بے روزگار
FORM,INVOLVED_IN_DOMESTIC_WORK,Involved in domestic work,घरगुती कामात गुंतलेले,घरेलू कार्यों में शामिल,ଘରୋଇ କାମରେ ଲିପ୍ତ,గృహ కార్యాల్లో పాల్గొంటున్నారు,ಮನೆಕೆಲಸದಲ್ಲಿ ತೊಡಗಿಸಿಕೊಂಡಿದ್ದಾರೆ,வீட்டு வேலையில் ஈடுபட்டுள்ளார்,ઘરકામ માં જોડાયેલ,گھریلو کاموں میں مشغول
FORM,FATHER_NAME,Father’s Name,वडिलांचे नाव,पिता का नाम,ବାପାଙ୍କ ନାମ,తండ్రి పేరు,ತಂದೆಯ ಹೆಸರು,தந்தையின் பெயர்,પિતાનું નામ,والد کا نام
FORM,ENTER_YOUR_FATHER_NAME,Enter Your Father Name,तुमचे वडिलांचे नाव प्रविष्ट करा,अपने पिता का नाम दर्ज करें,ଆପଣଙ୍କ ବାପାଙ୍କ ନାମ ଭରନ୍ତୁ,మీ తండ్రి పేరు నమోదు చేయండి,ನಿಮ್ಮ ತಂದೆಯ ಹೆಸರನ್ನು ನಮೂದಿಸಿ,உங்கள் தந்தை பெயரை உள்ளிடவும்,પોતાના પિતાનું નામ લખો,اپنے والد کا نام درج کریں۔
FORM,CLASS_OR_LAST_PASSED_GRADE,Class (Last passed grade),वर्ग (शेवटचा उत्तीर्ण ग्रेड),कक्षा (अंतिम उत्तीर्ण ग्रेड),କ୍ଲାସ୍ (ଶେଷ ପାଠାଗତ ଶ୍ରେଣୀ),తరగతి (గతంలో ఉత్తీర్ణత పొందిన గ్రేడ్),ವರ್ಗ (ಕೊನೆಯ ತರಗತಿಯಲ್ಲಿ ಉತ್ತೀರ್ಣ),வகுப்பு (கடைசி தேர்ச்சி பெற்ற வகுப்பு),ધોરણ (છેલ્લું પાસ કરેલ ),کلاس (آخری پاس شدہ گریڈ)
FORM,NO_SCHOOLING,No Schooling,शालेय शिक्षण नाही,कोई स्कूली शिक्षा नहीं,କୌଣସି ଶିକ୍ଷା ନାହିଁ,పాఠశాల లేదు,ಶಾಲೆಯಲ್ಲಿ ಶಿಕ್ಷಣವಿಲ್ಲ,பள்ளிப்படிப்பு இல்லை,શાળામાં ગયેલ નથી,کوئی ا سکولنگ نہیں۔
FORM,REASON_FOR_DROPOUT_FROM_SCHOOL,Reason for Drop Out From School,शाळा सोडण्याचे कारण,स्कूल से बाहर होने का कारण,ପାଠଶାଳାରୁ ତ୍ୟାଗ କରିବାର କାରଣ,పాఠశాల నుండి బయలుదేరిన కారణం,ಶಾಲೆಯಿಂದ ಹೊರಗುಳಿಯಲು ಕಾರಣ,பள்ளியிலிருந்து வெளியேறியதற்கான காரணம்,શાળામાથી નીકળી જવાનું કારણ,اسکول چھوڑنے کی وجہ
FORM,SCHOOL_INACCESSIBLE,School inaccessible,शाळा उपलब्ध नाही,स्कूल पहुंच से बाहर,ପାଠଶାଳା ଅପହେଲିତ,పాఠశాల అందుబాటులో లేదు,ಶಾಲೆಗೆ ಪ್ರವೇಶವಿಲ್ಲ,பள்ளிக்கு செல்ல முடியாத நிலை,શાળા ના હતી,اسکول ناقابل رسائی
FORM,FINANCIAL_CONSTRAINTS,Financial Constraints,आर्थिक मर्यादा,वित्तीय सीमाएँ,ଆର୍ଥିକ ଅସୁବିଧା,ఆర్థిక పరిమితులు,ಆರ್ಥಿಕ ನಿರ್ಬಂಧಗಳು,நிதிப் பற்றாக்குறை,આર્થિક સમસ્યા,مالی رکاوٹیں
FORM,LACK_OF_INTEREST,Lack of Interest,आवडीचा अभाव,रुचि की कमी,ରୁଚିର ଅଭାବ,ఆసక్తి లోపం,ಆಸಕ್ತಿಯ ಕೊರತೆ,ஆர்வமின்மை,રુચિ ન હતી,دلچسپی کی کمی
FORM,FAMILY_RESPONSIBILITIES,Family responsibilities,कौटुंबिक जबाबदाऱ्या,पारिवारिक ज़िम्मेदारियाँ,ପରିବାରିକ ଦାୟିତ୍ୱ,కుటుంబ బాధ్యతలు,ಕುಟುಂಬದ ಜವಾಬ್ದಾರಿಗಳು,குடும்பப் பொறுப்புகள்,કૌટુંબિક જવાબદારી,خاندانی ذمہ داریاں
FORM,FAILED,Failed,अयशस्वी,असफल,ବିଫଳ,విఫలమయ్యారు,ವಿಫಲ,தோல்வி,નાપાસ,ناکام
FORM,ILLNESS,Illness,आजारपण,बीमारी,ରୋଗ,అనారోగ్యం,ಅನಾರೋಗ್ಯ,உடல் நலமின்மை,બીમારી,بیماری
FORM,MARRIAGE,Marriage,लग्न,विवाह,ବିବାହ,వివాహం,ಮದುವೆ,திருமணம்,લગ્ન,شادی
FORM,MIGRATION,Migration,स्थलांतर,प्रवास,ପରିବର୍ତ୍ତନ,వలస,ವಲಸೆ,இடம்பெயர்தல்,મુસાફરી,ہجرت
FORM,STARTED_VOCATIONAL_COURSE,Started vocational course,व्यावसायिक कोर्स सुरू केला,व्यावसायिक पाठ्यक्रम शुरू किया,ପେଶାଗତ ପାଠ୍ୟକ୍ରମ ଆରମ୍ଭ କରିଛନ୍ତି,వృత్తిపరమైన కోర్సు ప్రారంభించారు,ವೃತ್ತಿಪರ ಕೋರ್ಸ್ ಪ್ರಾರಂಭಿಸಿದ್ದಾರೆ,தொழிற்கல்வி படிப்பை தொடங்கினார்,પ્રોફેશનલ કોર્સ શરૂ કર્યો,ووکیشنل کورس شروع کیا۔
FORM,STARTED_A_JOB,Started a job,नोकरी सुरू केली,नौकरी शुरू की,ଏକ କାମ ଆରମ୍ଭ କରିଛନ୍ତି,ఉద్యోగం ప్రారంభించారు,ಉದ್ಯೋಗವನ್ನು ಪ್ರಾರಂಭಿಸಿದ್ದಾರೆ,ஒரு வேலையைத் தொடங்கினார்,નોકરી શરૂ કરી,نوکری شروع کی۔
FORM,SCHOOL_CLOSURE_DUE_TO_COVID,School closure due to covid,कोविडमुळे शाळा बंद,कोविड के कारण स्कूल बंद,କୋଭିଡ୍ ଦ୍ୱାରା ପାଠଶାଳା ବନ୍ଦ,కోవిడ్ కారణంగా పాఠశాల మూసివేయబడింది,ಕೋವಿಡ್ ಕಾರಣದಿಂದಾಗಿ ಶಾಲೆ ಮುಚ್ಚಲಾಗಿದೆ,கோவிட் காரணமாக பள்ளி மூடப்பட்டுள்ளது,કોવિડને કારણે શાળાઓ બંધ છે,کوویڈ کی وجہ سے سکول بند
FORM,MARITAL_STATUS,Marital Status,वैवाहिक स्थिती,वैवाहिक स्थिति,ବିବାହିତ ଅବସ୍ଥା,వైవాహిక స్థితి,ವೈವಾಹಿಕ ಸ್ಥಿತಿ,திருமண நிலை,વૈવાહિક સ્થિતિ,ازدواجی حیثیت
FORM,UNMARRIED,Unmarried,अविवाहित,अविवाहित,ବିବାହିତ ନୁହେଁ,అవివాహిత,ಅವಿವಾಹಿತ,திருமணமாகாதவர்,અપરિણીત,غیر شادی شدہ
FORM,MARRIED,Married,विवाहित,विवाहित,ବିବାହିତ,వివాహిత,ವಿವಾಹಿತ,திருமணமானவர்,પરિણીત,شادی شدہ
FORM,DIVORCED,Divorced,घटस्फोटीत,तलाकशुदा,ବିବାହ ବିଚ୍ଛିନ୍ନ,విడాకులు పొందిన,ವಿವಾಹಿತ,விவாகரத்தானவர்,છૂટાછેડા લીધા,طلاق ہو گئی۔
FORM,PHONE_TYPE_AVAILABLE,Type of Phone Available,उपलब्ध फोनचा प्रकार,उपलब्ध फ़ोन का प्रकार,ଉପଲବ୍ଧ ଫୋନର ପ୍ରକାର,అందుబాటులో ఉన్న ఫోన్ రకం,ಲಭ್ಯವಿರುವ ಫೋನ್ ಪ್ರಕಾರ,பயன்படுத்தும் தொலைபேசியின் வகை,ઉપલબ્ધ ફોન પ્રકારો,دستیاب فون کی قسم
FORM,SMARTPHONE,Smartphone,स्मार्टफोन,स्मार्टफोन,ସ୍ମାର୍ଟଫୋନ୍,స్మార్ట్‌ఫోన్,ಸ್ಮಾರ್ಟ್‌ಫೋನ್,ஸ்மார்ட்போன்,સ્માર્ટ ફોન,اسمارٹ فون
FORM,KEYPAD,Keypad,कीपॅड,कीपैड,କୀପ୍ୟାଡ୍,కీప్యాడ్,ಕೀಪ್ಯಾಡ್,கீபேட்,કીપેડ,کی پیڈ
